"Statistic Label","Month","County","Dwelling Status","Stamp Duty Event","Type of Buyer","Type of Sale","UNIT","VALUE"
"Volume of Sales","2021 July","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","355"
"Volume of Sales","2021 July","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Number","541"
"Volume of Sales","2021 July","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Number","108"
"Volume of Sales","2021 July","Dublin","Existing","Executions","Non-Household Buyer","Market","Number","203"
"Volume of Sales","2021 August","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","87"
"Volume of Sales","2021 August","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Number","88"
"Volume of Sales","2021 August","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Number","4"
"Volume of Sales","2021 August","Dublin","New","Executions","Non-Household Buyer","Market","Number","61"
"Volume of Sales","2021 August","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","348"
"Volume of Sales","2021 August","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Number","534"
"Volume of Sales","2021 August","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Number","88"
"Volume of Sales","2021 August","Dublin","Existing","Executions","Non-Household Buyer","Market","Number","254"
"Volume of Sales","2021 September","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","109"
"Volume of Sales","2021 September","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Number","77"
"Volume of Sales","2021 September","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Number","2"
"Volume of Sales","2021 September","Dublin","New","Executions","Non-Household Buyer","Market","Number","207"
"Volume of Sales","2021 September","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","358"
"Volume of Sales","2021 September","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Number","605"
"Volume of Sales","2021 September","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Number","134"
"Volume of Sales","2021 September","Dublin","Existing","Executions","Non-Household Buyer","Market","Number","232"
"Volume of Sales","2021 October","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","80"
"Volume of Sales","2021 October","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Number","66"
"Volume of Sales","2021 October","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Number","8"
"Volume of Sales","2021 October","Dublin","New","Executions","Non-Household Buyer","Market","Number","38"
"Volume of Sales","2021 October","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","356"
"Volume of Sales","2021 October","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Number","651"
"Volume of Sales","2021 October","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Number","123"
"Volume of Sales","2021 October","Dublin","Existing","Executions","Non-Household Buyer","Market","Number","198"
"Volume of Sales","2021 November","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","118"
"Volume of Sales","2021 November","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Number","76"
"Volume of Sales","2021 November","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Number","10"
"Volume of Sales","2021 November","Dublin","New","Executions","Non-Household Buyer","Market","Number","25"
"Volume of Sales","2021 November","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","363"
"Volume of Sales","2021 November","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Number","628"
"Volume of Sales","2021 November","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Number","98"
"Volume of Sales","2021 November","Dublin","Existing","Executions","Non-Household Buyer","Market","Number","204"
"Volume of Sales","2021 December","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","140"
"Volume of Sales","2021 December","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Number","122"
"Volume of Sales","2021 December","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Number","15"
"Volume of Sales","2021 December","Dublin","New","Executions","Non-Household Buyer","Market","Number","646"
"Volume of Sales","2021 December","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","384"
"Volume of Sales","2021 December","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Number","670"
"Volume of Sales","2021 December","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Number","136"
"Volume of Sales","2021 December","Dublin","Existing","Executions","Non-Household Buyer","Market","Number","452"
"Value of Sales","2021 January","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","23.9"
"Value of Sales","2021 January","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","23.2"
"Value of Sales","2021 January","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro Million","4.8"
"Value of Sales","2021 January","Dublin","New","Executions","Non-Household Buyer","Market","Euro Million","51"
"Value of Sales","2021 January","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","82.8"
"Value of Sales","2021 January","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","230.5"
"Value of Sales","2021 January","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro Million","19.5"
"Value of Sales","2021 January","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro Million","86.7"
"Value of Sales","2021 February","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","29"
"Value of Sales","2021 February","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","45.5"
"Value of Sales","2021 February","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro Million","4.5"
"Value of Sales","2021 February","Dublin","New","Executions","Non-Household Buyer","Market","Euro Million","70.2"
"Value of Sales","2021 February","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","101.7"
"Value of Sales","2021 February","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","246"
"Value of Sales","2021 February","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro Million","24.4"
"Value of Sales","2021 February","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro Million","86.8"
"Value of Sales","2021 March","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","32.6"
"Value of Sales","2021 March","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","40"
"Value of Sales","2021 March","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro Million","6.9"
"Value of Sales","2021 March","Dublin","New","Executions","Non-Household Buyer","Market","Euro Million","25.6"
"Value of Sales","2021 March","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","114.8"
"Value of Sales","2021 March","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","293"
"Value of Sales","2021 March","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro Million","39.6"
