"Statistic Label","Month","County","Dwelling Status","Stamp Duty Event","Type of Buyer","Type of Sale","UNIT","VALUE"
"Mean Sale Price","2021 August","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","407972"
"Mean Sale Price","2021 August","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","387553"
"Mean Sale Price","2021 September","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","425946"
"Mean Sale Price","2021 September","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","654730"
"Mean Sale Price","2021 September","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","1277500"
"Mean Sale Price","2021 September","Dublin","New","Executions","Non-Household Buyer","Market","Euro","500415"
"Mean Sale Price","2021 September","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","411728"
"Mean Sale Price","2021 September","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","610410"
"Mean Sale Price","2021 September","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","411756"
"Mean Sale Price","2021 September","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","391406"
"Mean Sale Price","2021 October","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","475411"
"Mean Sale Price","2021 October","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","661718"
"Mean Sale Price","2021 October","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","845437"
"Mean Sale Price","2021 October","Dublin","New","Executions","Non-Household Buyer","Market","Euro","363894"
"Mean Sale Price","2021 October","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","414279"
"Mean Sale Price","2021 October","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","581587"
"Mean Sale Price","2021 October","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","373396"
"Mean Sale Price","2021 October","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","352391"
"Mean Sale Price","2021 November","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","455473"
"Mean Sale Price","2021 November","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","755067"
"Mean Sale Price","2021 November","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","575202"
"Mean Sale Price","2021 November","Dublin","New","Executions","Non-Household Buyer","Market","Euro","455564"
"Mean Sale Price","2021 November","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","430455"
"Mean Sale Price","2021 November","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","574135"
"Mean Sale Price","2021 November","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","492659"
"Mean Sale Price","2021 November","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","379966"
"Mean Sale Price","2021 December","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","451198"
"Mean Sale Price","2021 December","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","585332"
"Mean Sale Price","2021 December","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","977258"
"Mean Sale Price","2021 December","Dublin","New","Executions","Non-Household Buyer","Market","Euro","432039"
"Mean Sale Price","2021 December","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","414677"
"Mean Sale Price","2021 December","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","592921"
"Mean Sale Price","2021 December","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","393734"
"Mean Sale Price","2021 December","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","352528"
"Median Price","2021 January","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","382892"
"Median Price","2021 January","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","524938"
"Median Price","2021 January","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","384992"
"Median Price","2021 January","Dublin","New","Executions","Non-Household Buyer","Market","Euro","365013"
"Median Price","2021 January","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","357500"
"Median Price","2021 January","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","454000"
"Median Price","2021 January","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","315750"
"Median Price","2021 January","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","350948"
"Median Price","2021 February","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","405000"
"Median Price","2021 February","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","537522"
"Median Price","2021 February","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","825000"
"Median Price","2021 February","Dublin","New","Executions","Non-Household Buyer","Market","Euro","335027"
"Median Price","2021 February","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","344000"
"Median Price","2021 February","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","420000"
"Median Price","2021 February","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","340000"
"Median Price","2021 February","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","249984"
"Median Price","2021 March","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","425000"
"Median Price","2021 March","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","555000"
"Median Price","2021 March","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","540000"
"Median Price","2021 March","Dublin","New","Executions","Non-Household Buyer","Market","Euro","466940"
"Median Price","2021 March","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","350000"
"Median Price","2021 March","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","425000"
"Median Price","2021 March","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","324000"
"Median Price","2021 March","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","260000"
"Median Price","2021 April","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","427528"
"Median Price","2021 April","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","566365"
"Median Price","2021 April","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","887500"
"Median Price","2021 April","Dublin","New","Executions","Non-Household Buyer","Market","Euro","412545"
"Median Price","2021 April","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","355000"
"Median Price","2021 April","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","422500"
"Median Price","2021 April","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","341250"
"Median Price","2021 April","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","250000"
"Median Price","2021 May","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","410000"
"Median Price","2021 May","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","460000"
"Median Price","2021 May","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","590200"
"Median Price","2021 May","Dublin","New","Executions","Non-Household Buyer","Market","Euro","355941"
"Median Price","2021 May","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","350000"
"Median Price","2021 May","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","440250"
"Median Price","2021 May","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","305000"
"Median Price","2021 May","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","269000"
"Median Price","2021 June","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","405000"
"Median Price","2021 June","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","549999"
"Median Price","2021 June","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","673901"
"Median Price","2021 June","Dublin","New","Executions","Non-Household Buyer","Market","Euro","364908"
"Median Price","2021 June","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","380000"
"Median Price","2021 June","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","466750"
"Median Price","2021 June","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","325000"
"Median Price","2021 June","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","307500"
"Median Price","2021 July","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","408750"
"Median Price","2021 July","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","495000"
"Median Price","2021 July","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","670000"
"Median Price","2021 July","Dublin","New","Executions","Non-Household Buyer","Market","Euro","436667"
"Median Price","2021 July","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","372000"
"Median Price","2021 July","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","459500"
"Median Price","2021 July","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","332000"
"Median Price","2021 July","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","272000"
"Median Price","2021 August","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","395000"
"Median Price","2021 August","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","406231"
"Median Price","2021 August","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","447500"
"Median Price","2021 August","Dublin","New","Executions","Non-Household Buyer","Market","Euro","325500"
"Median Price","2021 August","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","380000"
"Median Price","2021 August","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","456000"
"Median Price","2021 August","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","337500"
"Median Price","2021 August","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","310000"
"Median Price","2021 September","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","390000"
"Median Price","2021 September","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","545000"
"Median Price","2021 September","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","1277500"
"Median Price","2021 September","Dublin","New","Executions","Non-Household Buyer","Market","Euro","579035"
"Median Price","2021 September","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","371000"
"Median Price","2021 September","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","495000"
"Median Price","2021 September","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","348000"
"Median Price","2021 September","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","265000"
"Median Price","2021 October","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","425001"
"Median Price","2021 October","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","562169"
"Median Price","2021 October","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","686750"
"Median Price","2021 October","Dublin","New","Executions","Non-Household Buyer","Market","Euro","361176"
"Median Price","2021 October","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","363875"
"Median Price","2021 October","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","459000"
"Median Price","2021 October","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","304000"
"Median Price","2021 October","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","290000"
"Median Price","2021 November","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","412225"
"Median Price","2021 November","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","640262"
"Median Price","2021 November","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","532500"
"Median Price","2021 November","Dublin","New","Executions","Non-Household Buyer","Market","Euro","467955"
"Median Price","2021 November","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","385000"
"Median Price","2021 November","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","461000"
"Median Price","2021 November","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","321500"
"Median Price","2021 November","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","300500"
"Median Price","2021 December","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","400745"
"Median Price","2021 December","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","483412"
"Median Price","2021 December","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","600000"
"Median Price","2021 December","Dublin","New","Executions","Non-Household Buyer","Market","Euro","406167"
"Median Price","2021 December","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","372000"
"Median Price","2021 December","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","469000"
"Median Price","2021 December","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","320000"
"Median Price","2021 December","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","320384"
